base_coin,okx_symbol,bybit_symbol,okx_tick_size,okx_lot_size,okx_min_size,bybit_tick_size,bybit_qty_step,bybit_min_order_qty,bybit_min_notional_value,take
0G,0G-USDT-SWAP,0GUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
1INCH,1INCH-USDT-SWAP,1INCHUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
2Z,2Z-USDT-SWAP,2ZUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
A,A-USDT-SWAP,AUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
AAOI,AAOI-USDT-SWAP,AAOIUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
AAPL,AAPL-USDT-SWAP,AAPLUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
AAVE,AAVE-USDT-SWAP,AAVEUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
ACH,ACH-USDT-SWAP,ACHUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,no
ACT,ACT-USDT-SWAP,ACTUSDT,1e-06,1.0,1.0,1e-06,1.0,1.0,5,yes
ACU,ACU-USDT-SWAP,ACUUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
ADA,ADA-USDT-SWAP,ADAUSDT,0.0001,0.1,0.1,0.0001,1.0,1.0,5,no
ADBE,ADBE-USDT-SWAP,ADBEUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
AERO,AERO-USDT-SWAP,AEROUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes
AEVO,AEVO-USDT-SWAP,AEVOUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
AGLD,AGLD-USDT-SWAP,AGLDUSDT,0.0001,1.0,1.0,1e-05,0.1,0.1,5,yes
AIXBT,AIXBT-USDT-SWAP,AIXBTUSDT,1e-05,1.0,1.0,1e-06,10.0,10.0,5,yes
ALAB,ALAB-USDT-SWAP,ALABUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
ALGO,ALGO-USDT-SWAP,ALGOUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,no
ALLO,ALLO-USDT-SWAP,ALLOUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
AMAT,AMAT-USDT-SWAP,AMATUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
AMZN,AMZN-USDT-SWAP,AMZNUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
ANIME,ANIME-USDT-SWAP,ANIMEUSDT,1e-06,1.0,1.0,1e-06,1.0,1.0,5,yes
APE,APE-USDT-SWAP,APEUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
API3,API3-USDT-SWAP,API3USDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
APR,APR-USDT-SWAP,APRUSDT,0.0001,1.0,1.0,1e-05,1.0,1.0,5,yes
APT,APT-USDT-SWAP,APTUSDT,0.0001,1.0,1.0,0.0001,0.01,0.01,5,yes
AR,AR-USDT-SWAP,ARUSDT,0.001,1.0,1.0,0.0001,0.1,0.1,5,yes
ARB,ARB-USDT-SWAP,ARBUSDT,1e-05,0.1,0.1,1e-05,0.1,0.1,5,no
ARKM,ARKM-USDT-SWAP,ARKMUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
ARM,ARM-USDT-SWAP,ARMUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
ARX,ARX-USDT-SWAP,ARXUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes
ASML,ASML-USDT-SWAP,ASMLUSDT,0.01,0.001,0.001,0.01,0.001,0.001,5,no
ASTER,ASTER-USDT-SWAP,ASTERUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,no
ASTS,ASTS-USDT-SWAP,ASTSUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
AT,AT-USDT-SWAP,ATUSDT,0.0001,1.0,1.0,1e-05,1.0,1.0,5,yes
ATH,ATH-USDT-SWAP,ATHUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,yes
ATOM,ATOM-USDT-SWAP,ATOMUSDT,0.001,1.0,1.0,0.0001,0.1,0.1,5,no
AUCTION,AUCTION-USDT-SWAP,AUCTIONUSDT,0.001,1.0,1.0,0.001,0.1,0.1,5,yes
AVAX,AVAX-USDT-SWAP,AVAXUSDT,0.001,0.1,0.1,0.001,0.1,0.1,5,no
AVGO,AVGO-USDT-SWAP,AVGOUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
AVNT,AVNT-USDT-SWAP,AVNTUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
AXS,AXS-USDT-SWAP,AXSUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
AXTI,AXTI-USDT-SWAP,AXTIUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
AZTEC,AZTEC-USDT-SWAP,AZTECUSDT,1e-05,1.0,1.0,1e-06,10.0,10.0,5,yes
BABY,BABY-USDT-SWAP,BABYUSDT,1e-05,1.0,1.0,1e-06,10.0,10.0,5,yes
