base_coin,filter_decision,filter_reason,cap_cutoff_usd,market_cap_usd,median_rel_vol,fitted_median_rel_vol,log_residual,p99_max,p99_max_clean,p95_max,had_entry_tail,had_soft_tail,spread_n_ticks,spread_joined,spread_window_start,spread_window_end,status,in_plot_set,gecko_id,okx_symbol,bybit_symbol,okx_tick_size,okx_lot_size,okx_min_size,bybit_tick_size,bybit_qty_step,bybit_min_order_qty,bybit_min_notional_value,take,gecko_name,map_method,n_candidates,candidate_ids,ticker_volume_usd,ticker_mcap_usd,map_note,n_hist_days,n_days_both,n_days_volume,n_days_mcap,mean_rel_vol,volume_cv,median_volume_usd,mean_volume_usd,hist_start,hist_end,paprika_id,paprika_name,window_start,window_end,spread_days_with_ticks,p99_long,p99_short,p95_long,p95_short,log_cap,log_median_rel_vol,log_fitted
0G,kept,kept_cap_le_cutoff,200000000.0,40960185.911034614,0.0749882043294284,0.039843169654903254,0.6323798363968587,0.06526648995345649,0.06526648995345649,0.0009340048637434023,False,False,3504550.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,zero-gravity,0G-USDT-SWAP,0GUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes,0G,markets_max_mcap,1,zero-gravity,31637666.0,40964907.0,,30,30,30,30,0.3252851955804902,2.5851461459874603,2629230.851785,11745482.846889,2026-08-05,2026-09-03,zero-gravity,0G,2026-08-05,2026-09-03,29.0,0.06523621546961243,0.06526648995345649,0.000829164822357603,0.0009340048637434023,17.528111077528845,-2.5904244534225533,-3.222804289819412
1INCH,kept,kept_cap_le_cutoff,200000000.0,128854050.03921598,0.006154156248154603,0.027781887051445416,-1.507256597169011,0.12324510509885499,0.12324510509885499,0.08240959845984644,False,False,3846828.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,1inch,1INCH-USDT-SWAP,1INCHUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes,1INCH,markets_max_mcap,1,1inch,23838903.0,128608328.0,,30,30,30,30,0.007896854276770835,0.7407031609348211,769570.3118355,970192.2440057666,2026-08-05,2026-09-03,1inch,1INCH,2026-08-05,2026-09-03,29.0,0.03679900442043278,0.12324510509885499,0.011535147547797883,0.08240959845984644,18.674190926770574,-5.090627612714219,-3.5833710155452083
2Z,kept,kept_cap_le_cutoff,200000000.0,190103405.61754853,0.010953151572816445,0.02458254819115246,-0.8084095383339349,1.1407686764705887,1.1407686764705887,0.5835341095890408,True,True,4729085.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,doublezero,2Z-USDT-SWAP,2ZUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes,DoubleZero,markets_max_mcap,1,doublezero,3505111.0,190083977.0,,30,30,30,30,0.022673377465917324,1.5667026607633427,2001668.82507,4041274.298453667,2026-08-05,2026-09-03,doublezero,DoubleZero,2026-08-05,2026-09-03,29.0,1.1407686764705887,0.13874608322147602,0.5835341095890408,0.09168080224049215,19.063078722172193,-4.514128049261299,-3.7057185109273645
A,kept,kept_cap_le_cutoff,200000000.0,131971282.72074094,0.005292708581308891,0.027573739826313868,-1.6505337302494558,0.21513118335053324,0.21513118335053324,0.15878248415407162,False,True,3130466.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,vaulta,A-USDT-SWAP,AUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes,Vaulta,markets_max_mcap,1,vaulta,5289674.0,132020263.0,,30,30,30,30,0.0061586861238353404,0.5710308179037097,615007.1314,713845.267696,2026-08-05,2026-09-03,vaulta,Vaulta,2026-08-05,2026-09-03,29.0,-0.027629658197217168,0.21513118335053324,-0.07666949255916092,0.15878248415407162,18.69809490173619,-5.241425144997988,-3.5908914147485325
AAVE,dropped,dropped_large_cap,200000000.0,2076731240.0967832,0.03062681769335921,0.011586178489654389,0.9720631421681594,0.09133888343934489,0.09133888343934489,0.06644213860986076,False,False,19004992.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,aave,AAVE-USDT-SWAP,AAVEUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no,Aave,markets_max_mcap,1,aave,292157180.0,2073337995.0,,30,30,30,30,0.04252551358655445,0.9281735731072249,49539050.14040001,73077514.14919,2026-08-05,2026-09-03,aave,Aave,2026-08-05,2026-09-03,29.0,0.011914925478435388,0.09133888343934489,0.0008635969204433253,0.06644213860986076,21.454060975343886,-3.485879258626035,-4.457942400794194
ACH,held_out,held_out_no_metrics,200000000.0,,,,,0.13969851092896202,0.13969851092896202,0.0951781869220613,False,False,2736808.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,missing_market_cap,False,alchemy-pay,ACH-USDT-SWAP,ACHUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,no,Alchemy Pay,unique_symbol_not_in_top_markets,1,alchemy-pay,,,in coins/list but not in cached /markets pages,30,0,30,0,,0.39867737615535703,618378.232605,615987.8792006668,2026-08-05,2026-09-03,alchemy-pay,Alchemy Pay,2026-08-05,2026-09-03,29.0,0.13969851092896202,-0.02052465508298679,0.0951781869220613,-0.048191049049265286,,,
ACT,kept,kept_cap_le_cutoff,200000000.0,10105873.91342953,0.20794800959357668,0.0618827072731173,1.2120473194591777,0.11612451358695607,0.11612451358695607,0.07136313492480822,False,False,8603780.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,act-i-the-ai-prophecy,ACT-USDT-SWAP,ACTUSDT,1e-06,1.0,1.0,1e-06,1.0,1.0,5,yes,Act I The AI Prophecy,markets_max_mcap,3,"act-i-the-ai-prophecy,achain,acet-token",6261026.0,10082101.0,close mcap runner-up achain cap=9086677 vs 10082101,30,30,30,30,0.45393032163078195,1.648718773184354,2032410.689117,4405570.551040233,2026-08-05,2026-09-03,act-i-the-ai-prophecy,Act I The AI Prophecy,2026-08-05,2026-09-03,29.0,0.11612451358695607,0.06068390393013084,0.07136313492480822,0.010522071529033967,16.128627388349027,-1.570467184401531,-2.7825145038607086
ACU,kept,kept_cap_le_cutoff,200000000.0,47148846.79725316,0.08214965328794085,0.038117850886819266,0.7678599243777535,0.24418046204620364,0.24418046204620364,0.1273290338770393,False,True,8444133.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,acurast,ACU-USDT-SWAP,ACUUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes,Acurast,markets_max_mcap,1,acurast,2003637.0,47167156.0,,30,30,30,30,0.2089623643522456,1.611253616700494,3258948.129905,7619562.487167668,2026-08-05,2026-09-03,acurast,Acurast,2026-08-05,2026-09-03,29.0,0.24418046204620364,0.22821445859872566,0.05045053566762516,0.1273290338770393,17.66882010857397,-2.4992126549832276,-3.267072579360981
ADA,dropped,dropped_large_cap,200000000.0,8339095479.002177,0.012628410389207147,0.007481673724711103,0.5234925415771485,0.05300493176382393,0.05300493176382393,0.0009023756834761746,False,False,27830157.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,cardano,ADA-USDT-SWAP,ADAUSDT,0.0001,0.1,0.1,0.0001,1.0,1.0,5,no,Cardano,markets_max_mcap,3,"cardano,ada-the-dog,binance-peg-cardano",661950103.0,8302994700.0,,30,30,30,30,0.016374743635399525,0.6164879868016244,94387112.0515,122059372.70706333,2026-08-05,2026-09-03,cardano,Cardano,2026-08-05,2026-09-03,29.0,0.05300493176382393,0.044642081903049025,0.0009023756834761746,0.0008343759409550273,22.84422059168018,-4.37180621046102,-4.895298752038168
AERO,dropped,dropped_large_cap,200000000.0,504470397.58912736,0.01277799014840198,0.018083450997334483,-0.34727303929769615,0.07763979935794499,0.07763979935794499,0.04605870421385517,False,False,7522325.0,True,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,ok,True,aerodrome-finance,AERO-USDT-SWAP,AEROUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes,Aerodrome Finance,markets_max_mcap,1,aerodrome-finance,35099605.0,503112513.0,,30,30,30,30,0.015530247946877344,0.8326133260401485,6025038.0497,7099528.20544,2026-08-05,2026-09-03,aerodrome-finance,Aerodrome Finance,2026-08-05,2026-09-03,29.0,0.07123668626320846,0.07763979935794499,0.04605870421385517,0.04389702063849152,20.039019719305227,-4.360031107783502,-4.012758068485806
