base_coin,okx_symbol,bybit_symbol,status,in_plot_set,gecko_id,gecko_name,map_method,map_note,n_candidates,candidate_ids,market_cap_usd,median_rel_vol,mean_rel_vol,volume_cv,median_volume_usd,mean_volume_usd,n_hist_days,n_days_both,n_days_volume,n_days_mcap,hist_start,hist_end,ticker_volume_usd,ticker_mcap_usd,window_start,window_end,okx_tick_size,okx_lot_size,okx_min_size,bybit_tick_size,bybit_qty_step,bybit_min_order_qty,bybit_min_notional_value,paprika_id,paprika_name
0G,0G-USDT-SWAP,0GUSDT,ok,True,zero-gravity,0G,markets_max_mcap,,1,zero-gravity,40960185.911034614,0.0749882043294284,0.3252851955804902,2.5851461459874603,2629230.851785,11745482.846889,30,30,30,30,2026-08-05,2026-09-03,31637666.0,40964907.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,0.1,0.1,5,zero-gravity,0G
1INCH,1INCH-USDT-SWAP,1INCHUSDT,ok,True,1inch,1INCH,markets_max_mcap,,1,1inch,128854050.03921598,0.006154156248154603,0.007896854276770835,0.7407031609348211,769570.3118355,970192.2440057666,30,30,30,30,2026-08-05,2026-09-03,23838903.0,128608328.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,0.1,0.1,5,1inch,1INCH
2Z,2Z-USDT-SWAP,2ZUSDT,ok,True,doublezero,DoubleZero,markets_max_mcap,,1,doublezero,190103405.61754853,0.010953151572816445,0.022673377465917324,1.5667026607633427,2001668.82507,4041274.298453667,30,30,30,30,2026-08-05,2026-09-03,3505111.0,190083977.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,doublezero,DoubleZero
A,A-USDT-SWAP,AUSDT,ok,True,vaulta,Vaulta,markets_max_mcap,,1,vaulta,131971282.72074094,0.005292708581308891,0.0061586861238353404,0.5710308179037097,615007.1314,713845.267696,30,30,30,30,2026-08-05,2026-09-03,5289674.0,132020263.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,vaulta,Vaulta
AAVE,AAVE-USDT-SWAP,AAVEUSDT,ok,True,aave,Aave,markets_max_mcap,,1,aave,2076731240.0967832,0.03062681769335921,0.04252551358655445,0.9281735731072249,49539050.14040001,73077514.14919,30,30,30,30,2026-08-05,2026-09-03,292157180.0,2073337995.0,2026-08-05,2026-09-03,0.01,0.1,0.1,0.01,0.01,0.01,5,aave,Aave
ACH,ACH-USDT-SWAP,ACHUSDT,missing_market_cap,False,alchemy-pay,Alchemy Pay,unique_symbol_not_in_top_markets,in coins/list but not in cached /markets pages,1,alchemy-pay,,,,0.39867737615535703,618378.232605,615987.8792006668,30,0,30,0,2026-08-05,2026-09-03,,,2026-08-05,2026-09-03,1e-06,1.0,1.0,1e-06,10.0,10.0,5,alchemy-pay,Alchemy Pay
ACT,ACT-USDT-SWAP,ACTUSDT,ok,True,act-i-the-ai-prophecy,Act I The AI Prophecy,markets_max_mcap,close mcap runner-up achain cap=9086677 vs 10082101,3,"act-i-the-ai-prophecy,achain,acet-token",10105873.91342953,0.20794800959357668,0.45393032163078195,1.648718773184354,2032410.689117,4405570.551040233,30,30,30,30,2026-08-05,2026-09-03,6261026.0,10082101.0,2026-08-05,2026-09-03,1e-06,1.0,1.0,1e-06,1.0,1.0,5,act-i-the-ai-prophecy,Act I The AI Prophecy
ACU,ACU-USDT-SWAP,ACUUSDT,ok,True,acurast,Acurast,markets_max_mcap,,1,acurast,47148846.79725316,0.08214965328794085,0.2089623643522456,1.611253616700494,3258948.129905,7619562.487167668,30,30,30,30,2026-08-05,2026-09-03,2003637.0,47167156.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,acurast,Acurast
ADA,ADA-USDT-SWAP,ADAUSDT,ok,True,cardano,Cardano,markets_max_mcap,,3,"cardano,ada-the-dog,binance-peg-cardano",8339095479.002177,0.012628410389207147,0.016374743635399525,0.6164879868016244,94387112.0515,122059372.70706333,30,30,30,30,2026-08-05,2026-09-03,661950103.0,8302994700.0,2026-08-05,2026-09-03,0.0001,0.1,0.1,0.0001,1.0,1.0,5,cardano,Cardano
AERO,AERO-USDT-SWAP,AEROUSDT,ok,True,aerodrome-finance,Aerodrome Finance,markets_max_mcap,,1,aerodrome-finance,504470397.58912736,0.01277799014840198,0.015530247946877344,0.8326133260401485,6025038.0497,7099528.20544,30,30,30,30,2026-08-05,2026-09-03,35099605.0,503112513.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,1.0,1.0,5,aerodrome-finance,Aerodrome Finance
AEVO,AEVO-USDT-SWAP,AEVOUSDT,ok,True,aevo-exchange,Aevo,markets_max_mcap,,1,aevo-exchange,21434576.028890975,0.030868482542301824,0.04578410640692159,1.1504879787852582,642198.210572,914092.0580384,30,30,30,30,2026-08-05,2026-09-03,14602589.0,21360007.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,0.1,0.1,5,aevo-exchange,Aevo
AGLD,AGLD-USDT-SWAP,AGLDUSDT,ok,True,adventure-gold,Adventure Gold,markets_max_mcap,,2,"adventure-gold,spdr-gold-shares-astock",15516950.347797714,0.050311777008899064,0.07002800171486433,0.7162308422496045,781647.795445,1043389.3694142998,30,30,30,30,2026-08-05,2026-09-03,4422901.0,15484908.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,1e-05,0.1,0.1,5,adventure-gold,Adventure Gold
AIXBT,AIXBT-USDT-SWAP,AIXBTUSDT,ok,True,aixbt,aixbt,markets_max_mcap,,1,aixbt,21162455.668814372,0.060783496149449195,0.08007029613780066,0.5893752263628076,1209359.4249,1549660.6495083333,30,30,30,30,2026-08-05,2026-09-03,3374182.0,21179455.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-06,10.0,10.0,5,aixbt,aixbt
ALGO,ALGO-USDT-SWAP,ALGOUSDT,ok,True,algorand,Algorand,markets_max_mcap,,2,"algorand,dear-algorithm",856620730.7782018,0.008358414960725957,0.009128125769369232,0.4306221377610242,6747711.6404025,7097625.786776434,30,30,30,30,2026-08-05,2026-09-03,35763280.0,855958775.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,0.1,0.1,5,algorand,Algorand
ALLO,ALLO-USDT-SWAP,ALLOUSDT,ok,True,allora,Allora,markets_max_mcap,,1,allora,62021601.983479105,0.22674391117209947,0.2970233128738145,1.1425374100321823,15769642.22085,20598795.362936668,30,30,30,30,2026-08-05,2026-09-03,5427958.0,62024548.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,allora,Allora
ANIME,ANIME-USDT-SWAP,ANIMEUSDT,ok,True,anime,Animecoin,markets_max_mcap,,4,"anime,a-new-internet-money-era,anime-bitcoin,animefication",15481974.06514622,0.03611853011578293,0.12273816831472846,2.6333951690284922,519303.511882,1796610.1381066,30,30,30,30,2026-08-05,2026-09-03,4446681.0,15485533.0,2026-08-05,2026-09-03,1e-06,1.0,1.0,1e-06,1.0,1.0,5,anime,Animecoin
