base_coin,in_csv,is_crypto,bybit_symbol,okx_symbol,bybit_listed_utc,okx_listed_utc,joint_listed_utc,later_venue,joint_listed_ms
BCH,yes,yes,BCHUSDT,BCH-USDT-SWAP,2018-01-01T00:00:00Z,2019-11-12T11:16:48Z,2019-11-12T11:16:48Z,okx,1573557408000
LTC,yes,yes,LTCUSDT,LTC-USDT-SWAP,2018-01-01T00:00:00Z,2019-11-12T11:16:48Z,2019-11-12T11:16:48Z,okx,1573557408000
LINK,yes,yes,LINKUSDT,LINK-USDT-SWAP,2018-01-01T00:00:00Z,2020-02-28T11:16:48Z,2020-02-28T11:16:48Z,okx,1582888608000
BTC,yes,yes,BTCUSDT,BTC-USDT-SWAP,2020-03-15T00:00:00Z,2019-11-12T11:16:48Z,2020-03-15T00:00:00Z,bybit,1584230400000
XTZ,yes,yes,XTZUSDT,XTZ-USDT-SWAP,2018-01-01T00:00:00Z,2020-04-21T10:12:51Z,2020-04-21T10:12:51Z,okx,1587463971000
ADA,yes,yes,ADAUSDT,ADA-USDT-SWAP,2021-01-15T00:00:00Z,2020-02-28T11:16:48Z,2021-01-15T00:00:00Z,bybit,1610668800000
ETH,yes,yes,ETHUSDT,ETH-USDT-SWAP,2021-03-15T00:00:00Z,2019-11-12T11:16:48Z,2021-03-15T00:00:00Z,bybit,1615766400000
DOT,yes,yes,DOTUSDT,DOT-USDT-SWAP,2021-03-18T09:34:00Z,2020-08-25T10:12:51Z,2021-03-18T09:34:00Z,bybit,1616060040000
AAVE,yes,yes,AAVEUSDT,AAVE-USDT-SWAP,2021-05-13T09:21:00Z,2020-12-10T06:00:00Z,2021-05-13T09:21:00Z,bybit,1620897660000
XRP,yes,yes,XRPUSDT,XRP-USDT-SWAP,2021-05-13T09:34:00Z,2019-11-12T11:16:48Z,2021-05-13T09:34:00Z,bybit,1620898440000
DOGE,yes,yes,DOGEUSDT,DOGE-USDT-SWAP,2021-06-02T10:44:00Z,2020-04-21T10:12:51Z,2021-06-02T10:44:00Z,bybit,1622630640000
ETC,yes,yes,ETCUSDT,ETC-USDT-SWAP,2021-06-29T07:04:00Z,2019-11-12T11:16:48Z,2021-06-29T07:04:00Z,bybit,1624950240000
FIL,yes,yes,FILUSDT,FIL-USDT-SWAP,2021-06-29T07:15:00Z,2019-08-10T10:12:51Z,2021-06-29T07:15:00Z,bybit,1624950900000
AXS,yes,yes,AXSUSDT,AXS-USDT-SWAP,2021-08-12T00:00:00Z,2021-07-28T09:00:00Z,2021-08-12T00:00:00Z,bybit,1628726400000
COMP,yes,yes,COMPUSDT,COMP-USDT-SWAP,2021-08-12T00:00:00Z,2020-04-21T10:12:51Z,2021-08-12T00:00:00Z,bybit,1628726400000
THETA,yes,yes,THETAUSDT,THETA-USDT-SWAP,2021-08-12T00:00:00Z,2020-04-21T10:12:51Z,2021-08-12T00:00:00Z,bybit,1628726400000
TRX,yes,yes,TRXUSDT,TRX-USDT-SWAP,2021-08-12T00:00:00Z,2019-11-12T11:16:48Z,2021-08-12T00:00:00Z,bybit,1628726400000
XLM,yes,yes,XLMUSDT,XLM-USDT-SWAP,2021-08-12T00:00:00Z,2020-04-21T10:12:51Z,2021-08-12T00:00:00Z,bybit,1628726400000
AVAX,yes,yes,AVAXUSDT,AVAX-USDT-SWAP,2021-09-15T00:00:00Z,2020-09-23T06:00:00Z,2021-09-15T00:00:00Z,bybit,1631664000000
ICP,yes,yes,ICPUSDT,ICP-USDT-SWAP,2021-09-15T00:00:00Z,2021-05-14T09:00:00Z,2021-09-15T00:00:00Z,bybit,1631664000000
ALGO,yes,yes,ALGOUSDT,ALGO-USDT-SWAP,2021-09-23T00:00:00Z,2020-04-21T10:12:51Z,2021-09-23T00:00:00Z,bybit,1632355200000
ATOM,yes,yes,ATOMUSDT,ATOM-USDT-SWAP,2021-10-11T00:00:00Z,2019-11-12T11:16:48Z,2021-10-11T00:00:00Z,bybit,1633910400000
DYDX,yes,yes,DYDXUSDT,DYDX-USDT-SWAP,2021-10-11T00:00:00Z,2021-09-08T16:11:50Z,2021-10-11T00:00:00Z,bybit,1633910400000
NEAR,yes,yes,NEARUSDT,NEAR-USDT-SWAP,2021-10-11T00:00:00Z,2020-12-21T10:00:00Z,2021-10-11T00:00:00Z,bybit,1633910400000
CHZ,yes,yes,CHZUSDT,CHZ-USDT-SWAP,2021-10-12T00:00:00Z,2021-03-12T09:00:00Z,2021-10-12T00:00:00Z,bybit,1633996800000
IOST,yes,yes,IOSTUSDT,IOST-USDT-SWAP,2021-10-12T00:00:00Z,2020-04-21T10:12:51Z,2021-10-12T00:00:00Z,bybit,1633996800000
KSM,yes,yes,KSMUSDT,KSM-USDT-SWAP,2021-10-12T00:00:00Z,2020-09-08T10:12:51Z,2021-10-12T00:00:00Z,bybit,1633996800000
SOL,yes,yes,SOLUSDT,SOL-USDT-SWAP,2021-10-15T00:00:00Z,2021-01-22T07:00:00Z,2021-10-15T00:00:00Z,bybit,1634256000000
CRV,yes,yes,CRVUSDT,CRV-USDT-SWAP,2021-10-25T00:00:00Z,2020-09-04T10:12:51Z,2021-10-25T00:00:00Z,bybit,1635120000000
SAND,yes,yes,SANDUSDT,SAND-USDT-SWAP,2021-11-01T00:00:00Z,2021-04-02T09:00:00Z,2021-11-01T00:00:00Z,bybit,1635724800000
MANA,yes,yes,MANAUSDT,MANA-USDT-SWAP,2021-11-08T00:00:00Z,2021-03-12T09:00:00Z,2021-11-08T00:00:00Z,bybit,1636329600000
GALA,yes,yes,GALAUSDT,GALA-USDT-SWAP,2021-11-09T00:00:00Z,2021-09-24T10:03:09Z,2021-11-09T00:00:00Z,bybit,1636416000000
ENS,yes,yes,ENSUSDT,ENS-USDT-SWAP,2021-11-12T00:00:00Z,2021-11-11T09:45:46Z,2021-11-12T00:00:00Z,bybit,1636675200000
EGLD,yes,yes,EGLDUSDT,EGLD-USDT-SWAP,2021-11-22T16:00:00Z,2020-12-22T07:00:00Z,2021-11-22T16:00:00Z,bybit,1637596800000
