base_coin,filter_decision,filter_reason,vol_filter_decision,vol_filter_reason,vol_cutoff,vol_quantile,std_spread,std_spread_long,std_spread_short,std_status,n_ticks,days_with_ticks,vol_window_start,vol_window_end,market_cap_usd,median_rel_vol,p99_max_clean,had_entry_tail,status,in_plot_set,gecko_id,okx_symbol,bybit_symbol,okx_tick_size,okx_lot_size,okx_min_size,bybit_tick_size,bybit_qty_step,bybit_min_order_qty,bybit_min_notional_value,take,gecko_name,map_method,n_candidates,candidate_ids,ticker_volume_usd,ticker_mcap_usd,map_note,n_hist_days,n_days_both,n_days_volume,n_days_mcap,mean_rel_vol,volume_cv,median_volume_usd,mean_volume_usd,hist_start,hist_end,paprika_id,paprika_name,window_start,window_end,spread_n_ticks,spread_days_with_ticks,p99_long,p99_short,p95_long,p95_short,p99_max,p95_max,spread_window_start,spread_window_end,spread_joined,had_soft_tail,log_cap,log_median_rel_vol,log_fitted,log_residual,fitted_median_rel_vol,cap_cutoff_usd,mean_spread_long,mean_spread_short,std_present,std_usable,vol_min_ticks
0G,kept,kept_cap_le_cutoff,kept,kept_std_ge_cutoff,0.0469718977007977,0.2,0.0789449440931931,0.0789449440931931,0.0767515979394184,ok,3199226.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,40960185.911034614,0.0749882043294284,0.06526648995345649,False,ok,True,zero-gravity,0G-USDT-SWAP,0GUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes,0G,markets_max_mcap,1,zero-gravity,31637666.0,40964907.0,,30,30,30,30,0.3252851955804902,2.5851461459874603,2629230.851785,11745482.846889,2026-08-05,2026-09-03,zero-gravity,0G,2026-08-05,2026-09-03,3504550.0,29.0,0.06523621546961243,0.06526648995345649,0.000829164822357603,0.0009340048637434023,0.06526648995345649,0.0009340048637434023,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,False,17.528111077528845,-2.5904244534225533,-3.222804289819412,0.6323798363968587,0.039843169654903254,200000000.0,-0.09652027299413,-0.0911327367957787,True,True,10000
1INCH,kept,kept_cap_le_cutoff,kept,kept_std_ge_cutoff,0.0469718977007977,0.2,0.0598771185294304,0.0598771185294304,0.0560987539580552,ok,3433435.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,128854050.03921598,0.006154156248154603,0.12324510509885499,False,ok,True,1inch,1INCH-USDT-SWAP,1INCHUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes,1INCH,markets_max_mcap,1,1inch,23838903.0,128608328.0,,30,30,30,30,0.007896854276770835,0.7407031609348211,769570.3118355,970192.2440057666,2026-08-05,2026-09-03,1inch,1INCH,2026-08-05,2026-09-03,3846828.0,29.0,0.03679900442043278,0.12324510509885499,0.011535147547797883,0.08240959845984644,0.12324510509885499,0.08240959845984644,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,False,18.674190926770574,-5.090627612714219,-3.5833710155452083,-1.507256597169011,0.027781887051445416,200000000.0,-0.0842582278749037,0.0061293061639239,True,True,10000
2Z,kept,kept_cap_le_cutoff,kept,kept_std_ge_cutoff,0.0469718977007977,0.2,0.2681097486049677,0.2637788344185888,0.2681097486049677,ok,4561750.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,190103405.61754853,0.010953151572816445,1.1407686764705887,True,ok,True,doublezero,2Z-USDT-SWAP,2ZUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes,DoubleZero,markets_max_mcap,1,doublezero,3505111.0,190083977.0,,30,30,30,30,0.022673377465917324,1.5667026607633427,2001668.82507,4041274.298453667,2026-08-05,2026-09-03,doublezero,DoubleZero,2026-08-05,2026-09-03,4729085.0,29.0,1.1407686764705887,0.13874608322147602,0.5835341095890408,0.09168080224049215,1.1407686764705887,0.5835341095890408,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,True,19.063078722172193,-4.514128049261299,-3.7057185109273645,-0.8084095383339349,0.02458254819115246,200000000.0,0.0137115267150428,-0.1173905888889239,True,True,10000
A,kept,kept_cap_le_cutoff,kept,kept_std_ge_cutoff,0.0469718977007977,0.2,0.0828771182575526,0.0676429052705575,0.0828771182575526,ok,2890358.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,131971282.72074094,0.005292708581308891,0.21513118335053324,False,ok,True,vaulta,A-USDT-SWAP,AUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes,Vaulta,markets_max_mcap,1,vaulta,5289674.0,132020263.0,,30,30,30,30,0.0061586861238353404,0.5710308179037097,615007.1314,713845.267696,2026-08-05,2026-09-03,vaulta,Vaulta,2026-08-05,2026-09-03,3130466.0,29.0,-0.027629658197217168,0.21513118335053324,-0.07666949255916092,0.15878248415407162,0.21513118335053324,0.15878248415407162,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,True,18.69809490173619,-5.241425144997988,-3.5908914147485325,-1.6505337302494558,0.027573739826313868,200000000.0,-0.180225471918497,0.0395927833768461,True,True,10000
AAVE,dropped,dropped_large_cap,dropped,dropped_low_vol,0.0469718977007977,0.2,0.0296001882262082,0.0276496446669262,0.0296001882262082,ok,17248102.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,2076731240.0967832,0.03062681769335921,0.09133888343934489,False,ok,True,aave,AAVE-USDT-SWAP,AAVEUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no,Aave,markets_max_mcap,1,aave,292157180.0,2073337995.0,,30,30,30,30,0.04252551358655445,0.9281735731072249,49539050.14040001,73077514.14919,2026-08-05,2026-09-03,aave,Aave,2026-08-05,2026-09-03,19004992.0,29.0,0.011914925478435388,0.09133888343934489,0.0008635969204433253,0.06644213860986076,0.09133888343934489,0.06644213860986076,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,False,21.454060975343886,-3.485879258626035,-4.457942400794194,0.9720631421681594,0.011586178489654389,200000000.0,-0.0325403852997779,0.0129623795404253,True,True,10000
ACH,held_out,held_out_no_metrics,held_out,held_out_no_std,0.0469718977007977,0.2,0.0819674138820515,0.0740455423970127,0.0819674138820515,ok,2618955.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,,,0.13969851092896202,False,missing_market_cap,False,alchemy-pay,ACH-USDT-SWAP,ACHUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,no,Alchemy Pay,unique_symbol_not_in_top_markets,1,alchemy-pay,,,in coins/list but not in cached /markets pages,30,0,30,0,,0.39867737615535703,618378.232605,615987.8792006668,2026-08-05,2026-09-03,alchemy-pay,Alchemy Pay,2026-08-05,2026-09-03,2736808.0,29.0,0.13969851092896202,-0.02052465508298679,0.0951781869220613,-0.048191049049265286,0.13969851092896202,0.0951781869220613,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,False,,,,,,200000000.0,-0.003838004562405,-0.1543593334891889,True,True,10000
ACT,kept,kept_cap_le_cutoff,kept,kept_std_ge_cutoff,0.0469718977007977,0.2,0.1122028312823682,0.1122028312823682,0.0923853511969759,ok,8245337.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,10105873.91342953,0.20794800959357668,0.11612451358695607,False,ok,True,act-i-the-ai-prophecy,ACT-USDT-SWAP,ACTUSDT,1e-06,1.0,1.0,1e-06,1.0,1.0,5,yes,Act I The AI Prophecy,markets_max_mcap,3,"act-i-the-ai-prophecy,achain,acet-token",6261026.0,10082101.0,close mcap runner-up achain cap=9086677 vs 10082101,30,30,30,30,0.45393032163078195,1.648718773184354,2032410.689117,4405570.551040233,2026-08-05,2026-09-03,act-i-the-ai-prophecy,Act I The AI Prophecy,2026-08-05,2026-09-03,8603780.0,29.0,0.11612451358695607,0.06068390393013084,0.07136313492480822,0.010522071529033967,0.11612451358695607,0.07136313492480822,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,False,16.128627388349027,-1.570467184401531,-2.7825145038607086,1.2120473194591777,0.0618827072731173,200000000.0,-0.0342563504208115,-0.0834137823945638,True,True,10000
ACU,kept,kept_cap_le_cutoff,kept,kept_std_ge_cutoff,0.0469718977007977,0.2,0.1355399137837739,0.1355399137837739,0.1335890346830761,ok,8272684.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,47148846.79725316,0.08214965328794085,0.24418046204620364,False,ok,True,acurast,ACU-USDT-SWAP,ACUUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes,Acurast,markets_max_mcap,1,acurast,2003637.0,47167156.0,,30,30,30,30,0.2089623643522456,1.611253616700494,3258948.129905,7619562.487167668,2026-08-05,2026-09-03,acurast,Acurast,2026-08-05,2026-09-03,8444133.0,29.0,0.24418046204620364,0.22821445859872566,0.05045053566762516,0.1273290338770393,0.24418046204620364,0.1273290338770393,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,True,17.66882010857397,-2.4992126549832276,-3.267072579360981,0.7678599243777535,0.038117850886819266,200000000.0,-0.1217515965205569,-0.0437081807208212,True,True,10000
ADA,dropped,dropped_large_cap,dropped,dropped_low_vol,0.0469718977007977,0.2,0.0443217655912011,0.0396238669095477,0.0443217655912011,ok,25125591.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,8339095479.002177,0.012628410389207147,0.05300493176382393,False,ok,True,cardano,ADA-USDT-SWAP,ADAUSDT,0.0001,0.1,0.1,0.0001,1.0,1.0,5,no,Cardano,markets_max_mcap,3,"cardano,ada-the-dog,binance-peg-cardano",661950103.0,8302994700.0,,30,30,30,30,0.016374743635399525,0.6164879868016244,94387112.0515,122059372.70706333,2026-08-05,2026-09-03,cardano,Cardano,2026-08-05,2026-09-03,27830157.0,29.0,0.05300493176382393,0.044642081903049025,0.0009023756834761746,0.0008343759409550273,0.05300493176382393,0.0009023756834761746,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,False,22.84422059168018,-4.37180621046102,-4.895298752038168,0.5234925415771485,0.007481673724711103,200000000.0,-0.0425442972555353,-0.0583376503590869,True,True,10000
AERO,dropped,dropped_large_cap,dropped,dropped_low_vol,0.0469718977007977,0.2,0.0452947222535806,0.0452947222535806,0.043986643403528,ok,6701708.0,25.0,2026-08-03T13:35:00Z,2026-08-27T11:40:00Z,504470397.58912736,0.01277799014840198,0.07763979935794499,False,ok,True,aerodrome-finance,AERO-USDT-SWAP,AEROUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes,Aerodrome Finance,markets_max_mcap,1,aerodrome-finance,35099605.0,503112513.0,,30,30,30,30,0.015530247946877344,0.8326133260401485,6025038.0497,7099528.20544,2026-08-05,2026-09-03,aerodrome-finance,Aerodrome Finance,2026-08-05,2026-09-03,7522325.0,29.0,0.07123668626320846,0.07763979935794499,0.04605870421385517,0.04389702063849152,0.07763979935794499,0.04605870421385517,2026-07-22T11:05:00Z,2026-08-27T11:40:00Z,True,False,20.039019719305227,-4.360031107783502,-4.012758068485806,-0.34727303929769615,0.018083450997334483,200000000.0,-0.0569883902036234,-0.0146966998007178,True,True,10000
