event_local_ts_ms,base_coin,trigger,calc_local_ts_ms,okx_local_recv_ts_ms,okx_ts_ms,bybit_local_recv_ts_ms,bybit_ts_ms,okx_bid_price,okx_bid_size,okx_ask_price,okx_ask_size,bybit_bid_price,bybit_bid_size,bybit_ask_price,bybit_ask_size
1788423692406,SOL,bybit,1788423692408,1788423692405,1788423692401,1788423692405,1788423692402,140.02720683147248,1.0,140.0412068314725,1.0,139.99892625965037,1.0,140.01292625965038,1.0
1788423694268,SOL,okx,1788423694270,1788423694267,1788423694263,1788423694267,1788423694264,140.02426364620018,1.0,140.0382636462002,1.0,139.98112489577412,1.0,139.99512489577413,1.0
1788423696231,SOL,okx,1788423696233,1788423696230,1788423696226,1788423696230,1788423696227,140.05682741005631,1.0,140.07082741005632,1.0,139.99901115017389,1.0,140.0130111501739,1.0
1788423698556,SOL,bybit,1788423698558,1788423698555,1788423698551,1788423698555,1788423698552,140.01385702721626,1.0,140.02785702721627,1.0,139.9882294403637,1.0,140.00222944036372,1.0
1788423700339,SOL,okx,1788423700341,1788423700338,1788423700334,1788423700338,1788423700335,140.05279491842808,1.0,140.0667949184281,1.0,139.9999335916851,1.0,140.01393359168512,1.0
1788423702457,SOL,okx,1788423702459,1788423702456,1788423702452,1788423702456,1788423702453,140.04069283134126,1.0,140.05469283134127,1.0,139.99579249414455,1.0,140.00979249414456,1.0
1788423704674,SOL,bybit,1788423704676,1788423704673,1788423704669,1788423704673,1788423704670,140.02125173262422,1.0,140.03525173262423,1.0,139.98453154388284,1.0,139.99853154388285,1.0
1788423705856,SOL,okx,1788423705858,1788423705855,1788423705851,1788423705855,1788423705852,140.07075415322205,1.0,140.08475415322206,1.0,140.00425386691313,1.0,140.01825386691314,1.0
1788423706750,SOL,okx,1788423706752,1788423706749,1788423706745,1788423706749,1788423706746,140.05853952598375,1.0,140.07253952598376,1.0,140.00576847667537,1.0,140.01976847667538,1.0
1788423708060,SOL,okx,1788423708062,1788423708059,1788423708055,1788423708059,1788423708056,140.02646062720243,1.0,140.04046062720244,1.0,139.9954601198218,1.0,140.0094601198218,1.0
1788423709344,SOL,bybit,1788423709346,1788423709343,1788423709339,1788423709343,1788423709340,140.03970856515704,1.0,140.05370856515705,1.0,139.99424266655546,1.0,140.00824266655547,1.0
1788423711629,SOL,okx,1788423711631,1788423711628,1788423711624,1788423711628,1788423711625,140.04691116305708,1.0,140.06091116305709,1.0,139.99546676959494,1.0,140.00946676959495,1.0
1788423713980,SOL,okx,1788423713982,1788423713979,1788423713975,1788423713979,1788423713976,140.03343031141787,1.0,140.04743031141788,1.0,139.99019761022134,1.0,140.00419761022135,1.0
1788423714788,SOL,okx,1788423714790,1788423714787,1788423714783,1788423714787,1788423714784,140.0579899820217,1.0,140.0719899820217,1.0,140.00486420585585,1.0,140.01886420585586,1.0
1788423716437,SOL,okx,1788423716439,1788423716436,1788423716432,1788423716436,1788423716433,140.03866303301396,1.0,140.05266303301397,1.0,139.99368074747548,1.0,140.0076807474755,1.0
1788423718633,SOL,bybit,1788423718635,1788423718632,1788423718628,1788423718632,1788423718629,140.05107138070994,1.0,140.06507138070995,1.0,139.99753113997735,1.0,140.01153113997736,1.0
1788423719656,SOL,okx,1788423719658,1788423719655,1788423719651,1788423719655,1788423719652,140.0548605580916,1.0,140.06886055809161,1.0,139.99252659997387,1.0,140.00652659997388,1.0
